"NBHD_ID","NBHD_NAME"
2,"Auraria"
21,"Cory - Merrill"
7,"Belcaro"
70,"Washington Park"
71,"Washington Park West"
59,"Speer"
13,"Cherry Creek"
22,"Country Club"
20,"Congress Park"
14,"City Park"
44,"Marston"
27,"Fort Logan"
4,"Barnum"
5,"Barnum West"
74,"West Colfax"
75,"West Highland"
56,"Sloan Lake"
8,"Berkeley"
52,"Regis"
11,"Chaffee Park"
36,"Highland"
1,"Athmar Park"
73,"Wellshire"
64,"University"
53,"Rosedale"
12,"Cheesman Park"
37,"Hilltop"
46,"Montclair"
31,"Hale"
48,"North Park Hill"
57,"South Park Hill"
66,"University Park"
51,"Platt Park"
50,"Overland"
54,"Ruby Hill"
40,"Kennedy"
32,"Hampden"
58,"Southmoor Park"
33,"Hampden South"
38,"Indian Creek"
30,"Goldsmith"
65,"University Hills"
34,"Harvey Park"
43,"Mar Lee"
24,"East Colfax"
9,"Capitol Hill"
47,"North Capitol Hill"
16,"Civic Center"
10,"CBD"
63,"Union Station"
60,"Central Park"
45,"Montbello"
42,"Lowry Field"
28,"Gateway - Green Valley Ranch"
35,"Harvey Park South"
19,"College View - South Platte"
15,"City Park West"
61,"Sun Valley"
67,"Valverde"
68,"Villa Park"
26,"Five Points"
29,"Globeville"
6,"Bear Valley"
69,"Virginia Village"
78,"Windsor"
72,"Washington Virginia Vale"
39,"Jefferson Park"
49,"Northeast Park Hill"
25,"Elyria Swansea"
3,"Baker"
17,"Clayton"
55,"Skyland"
41,"Lincoln Park"
77,"Whittier"
18,"Cole"
76,"Westwood"
62,"Sunnyside"
23,"DIA"
